Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
0,1,0,0,10,20
1,180,0,0,10,20
2,60,0,0,38,20
3,60,0,0,67,20
4,90,0,0,95,20
5,60,0,0,67,20
6,60,0,0,38,20
7,60,0,0,10,20
8,120,0,-10,10,20
9,60,0,-10,38,20
10,60,0,-10,67,20
11,90,0,-10,95,20
12,60,0,-10,67,20
13,60,0,-10,38,20
14,60,0,-10,10,20
15,120,0,10,10,20
16,60,0,10,38,20
17,60,0,10,67,20
18,90,0,10,95,20
19,60,0,10,67,20
20,60,0,10,38,20
21,60,0,10,10,20
22,120,0,30,10,20
23,60,0,30,38,20
24,60,0,30,67,20
25,90,0,30,95,20
26,60,0,30,67,20
27,60,0,30,38,20
28,60,0,30,10,20
29,180,0,50,10,20
30,60,0,50,38,20
31,60,0,50,67,20
32,90,0,50,95,20
33,60,0,50,67,20
34,60,0,50,38,20
35,60,0,50,10,20
36,120,0,70,10,20
37,60,0,70,38,20
38,60,0,70,67,20
39,90,0,70,95,20
40,60,0,70,67,20
41,60,0,70,38,20
42,60,0,70,10,20
43,120,0,35,10,20
44,60,0,35,18.84,20
45,60,0,35,34.38,20
46,90,0,35,60.94,20
47,60,0,35,34.38,20
48,60,0,35,18.84,20
49,60,0,35,10,20
50,120,0,21,10,20
51,60,0,21,22.05,20
52,60,0,21,46.29,20
53,90,0,21,92.93,20
54,60,0,21,46.29,20
55,60,0,21,22.05,20
56,60,0,21,10,20
