aH96140261_MI70_biotec_K3650019_h_exh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,PC200.SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,150,0,2,-0.521666753,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,80,0,2,-2.682807329,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,80,0,2,-5.131749371,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,80,0,2,-8.163112888,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,80,0,2,-12.17537891,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,80,0,2,-18.23060074,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
