a230324a_s14test,,,,,,,,,,,,,,,,,,,,,,,,,,,,a230316b_s14test,,,,,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,,,,,,,,,,,,,,,,,,,,Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,,
pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,,,,,,,,,,,,,,,,,,,pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,Sat 25/03/2023 0:36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,80,0,50,10,20,50.3,4330,72.2,3.01,Tue 28/03/2023 0:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,80,0,50,30,20,50.3,4410,73.5,3.06,Tue 28/03/2023 2:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,80,0,50,50,20,50.3,4490,74.8,3.12,Tue 28/03/2023 3:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,80,0,50,70,20,50.3,4570,76.2,3.17,Tue 28/03/2023 4:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,80,0,50,95,20,50.3,4650,77.5,3.23,Tue 28/03/2023 6:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,80,0,50,50,20,50.3,4730,78.8,3.28,Tue 28/03/2023 7:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,300,0,23,50,20,23.3,5030,83.8,3.49,Tue 28/03/2023 12:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,300,0,5,50,20,5.3,5330,88.8,3.70,Tue 28/03/2023 17:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,80,0,5,10,20,5.3,5410,90.2,3.76,Tue 28/03/2023 18:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,80,0,5,30,20,5.3,5490,91.5,3.81,Tue 28/03/2023 20:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,80,0,5,50,20,5.3,5570,92.8,3.87,Tue 28/03/2023 21:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,80,0,5,70,20,5.3,5650,94.2,3.92,Tue 28/03/2023 22:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,80,0,5,95,20,5.3,5730,95.5,3.98,Wed 29/03/2023 0:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,80,0,5,50,20,5.3,5810,96.8,4.03,Wed 29/03/2023 1:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,300,0,23,50,20,23.3,6110,101.8,4.24,Wed 29/03/2023 6:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,80,0,23,10,20,23.3,6190,103.2,4.30,Wed 29/03/2023 7:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,80,0,23,30,20,23.3,6270,104.5,4.35,Wed 29/03/2023 9:06
