231101a_TS2900_dp30_s8000,,,,,
Points,Soak,Assured,T_2900,FP_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q
1,180,0,20,8,20
2,50,0,20,13,20
3,50,0,20,18,20
4,180,0,30,18,20
5,50,0,30,23,20
6,50,0,30,28,20
7,180,0,40,28,20
8,50,0,40,33,20
9,50,0,40,38,20
10,180,0,50,38,20
11,50,0,50,43,20
12,50,0,50,48,20
13,180,0,60,48,20
14,50,0,60,53,20
15,50,0,60,58,20
16,180,0,40,28,20
