aG3cycling_temperature.csv,,,
Points,Soak,Assured,G3 fp
,,,HGG3.set_fp
1,60,0,-90
2,30,0,-60
3,30,0,-30
4,60,0,0
5,30,0,-30
6,30,0,-40
7,30,0,-50
8,30,0,-60
9,60,0,-90
10,30,0,-55
11,30,0,-45
12,30,0,-35
13,30,0,-25
14,30,0,-15
15,60,0,0
16,30,0,-15
17,30,0,-25
18,30,0,-35
19,30,0,-45
20,30,0,-55
