210621_iPAC_473_RP2
comment
no.	runtime	datetime	RH @PcTc	saturation pressure	chamber pressure	saturation pressure	chamber pressure	flow rate	Ts2500#1 SIL010 c11	Ts2500#2 SIL035 c19	PsDruck#1 0-20 h118	PoDruck#2 0-3b h119	PoDruck#3 0-3b h120	P MSL473_SH2	Tc SIL019 c12	Tc SIL057 c13	Tc SIL058 c14	Tc SIL020 c15	Tc SIL012 c17	Tx MSL473_SHX	Tx DUT473_RP2	DP MSL473_SH2	DP DUT473_RP2	FP MSL473_SH2	FP DUT473_RP2	Tm MSL473_SH2	Tm DUT473_RP2	RH DUT473_RP2	Th MSL473_SHX	Th DUT473_RP2	Tamb SIL039 c20
1	6.155988454818726	2021-06-25 10:44:57	100.0	14.2209	14.71	22.5904	22.6167	0.41928	22.222270388165246	22.38984799382276	1.0198073909704033	1.0313578412020465	1.0206272579465545	0.002478	22.57537788213166	22.61852621882951	22.61293708083253	22.604696390158065	22.59969769119664	22.6004	22.6157	23.0292	22.302	23.0334	22.3023	23.0312	22.3022	98.1114	20.5947	22.5598	20.352339490051275
2	72.95029807090759	2021-06-25 10:46:04	100.0	14.2269	14.71	22.5905	22.6168	0.40461	22.222270388165246	22.38984799382276	1.0197887425053391	1.0313372468062085	1.0206077492416332	0.002478	22.567700585801546	22.623673921015378	22.607780225769016	22.607269019684225	22.60226815288978	22.601	22.6164	23.0226	22.3043	23.0232	22.3045	23.021	22.3046	98.1216	20.5945	22.5612	20.38063335157373
3	139.80161905288696	2021-06-25 10:47:11	100.0	14.2209	14.708	22.5911	22.6174	0.38342	22.21970022440305	22.392421403495447	1.0197599585696708	1.0313067312915658	1.0205742307006545	0.002478	22.57793698339604	22.623673921015378	22.61293708083253	22.604696390158065	22.59969769119664	22.6014	22.6166	23.0286	22.306	23.0267	22.3064	23.0246	22.3067	98.1316	20.5944	22.5628	20.37291682055199
4	206.55315041542053	2021-06-25 10:48:18	100.0	14.2269	14.71	22.5913	22.6176	0.3769	22.21970022440305	22.392421403495447	1.0198505768898964	1.0313871389757119	1.0206526157642666	0.002478	22.57793698339604	22.62110006893654	22.61293708083253	22.612414283710326	22.607409079961318	22.6019	22.6171	23.0288	22.3081	23.0278	22.3085	23.0301	22.3086	98.14	20.5945	22.5645	20.3909220868256
5	273.31708669662476	2021-06-25 10:49:25	100.0	14.2269	14.712	22.5821	22.6184	0.36875	22.21713006263783	22.394994815233726	1.0199391921550132	1.0314536141506425	1.0206892164893444	0.002478	22.57537788213166	22.623673921015378	22.61293708083253	22.612414283710326	22.59969769119664	22.6025	22.6177	23.0249	22.3099	23.0236	22.3099	23.0288	22.3102	98.1479	20.5944	22.5661	20.354911649558158
6	340.09993720054626	2021-06-25 10:50:31	100.0	14.2209	14.71	22.5817	22.6181	0.36386	22.21970022440305	22.394994815233726	1.019866761594562	1.031408700423245	1.0206559431025426	0.002478	22.57793698339604	22.6288216310885	22.61293708083253	22.614986918210352	22.60483861581136	22.6027	22.6182	23.0247	22.3119	23.0238	22.3118	23.0272	22.3118	98.1555	20.5945	22.5678	20.39349427549981
7	406.8662006855011	2021-06-25 10:51:38	100.0	14.2269	14.712	22.572	22.6183	0.37201	22.21713006263783	22.392421403495447	1.019934284664004	1.0314739936713395	1.0207219294894248	0.002478	22.57537788213166	22.6288216310885	22.61035865235252	22.612414283710326	22.60483861581136	22.6034	22.6186	23.0238	22.3136	23.023	22.3137	23.0217	22.3139	98.1629	20.5943	22.5692	20.388349900095953
8	473.6212091445923	2021-06-25 10:52:45	100.0	14.2269	14.71	22.5822	22.6185	0.37201	22.21970022440305	22.392421403495447	1.0198879739736915	1.0314463076099294	1.0206925088038061	0.002478	22.57793698339604	22.623673921015378	22.61293708083253	22.612414283710326	22.60483861581136	22.6039	22.6193	23.0232	22.3152	23.0231	22.3154	23.0227	22.3155	98.1708	20.5945	22.5705	20.411499650665245
9	540.4041492938995	2021-06-25 10:53:52	100.0	14.2209	14.708	22.5817	22.6181	0.37201	22.21713006263783	22.392421403495447	1.0197130669951127	1.0312664021158346	1.020518261408511	0.002478	22.580496085904247	22.626247775066023	22.61809394348176	22.612414283710326	22.609979545339556	22.6039	22.6195	23.022	22.3171	23.0217	22.3172	23.0213	22.3171	98.1776	20.5944	22.5723	20.419216269189405
10	607.1787850856781	2021-06-25 10:54:58	100.0	14.2209	14.708	22.5712	22.6276	0.36875	22.222270388165246	22.392421403495447	1.0197619616271205	1.0312758576227656	1.0205225344075537	0.002478	22.57793698339604	22.626247775066023	22.61809394348176	22.6098416508683	22.609979545339556	22.6043	22.6198	23.024	22.3187	23.0227	22.3185	23.0221	22.3187	98.1857	20.5943	22.5736	20.378061172621962
11	673.9498336315155	2021-06-25 10:56:05	100.0	14.2209	14.708	22.572	22.6183	0.3769	22.21970022440305	22.394994815233726	1.0198770372796193	1.0314045815417245	1.020639096264237	0.002478	22.580496085904247	22.623673921015378	22.61809394348176	22.614986918210352	22.609979545339556	22.6051	22.6203	23.0222	22.3203	23.0217	22.32	23.0211	22.3203	98.1923	20.5942	22.5749	20.39349427549981
12	740.7004778385162	2021-06-25 10:57:12	100.0	14.2209	14.71	22.5714	22.6177	0.38179	22.21713006263783	22.394994815233726	1.019945001021931	1.0314777902081522	1.0207074292936522	0.002478	22.580496085904247	22.6288216310885	22.61809394348176	22.6098416508683	22.612550011946194	22.6055	22.6207	23.0239	22.3217	23.0228	22.3216	23.0228	22.3218	98.1991	20.5943	22.5762	20.38320553246997
