210621_iPAC_473_RP2
comment
no.	runtime	datetime	RH @PcTc	saturation pressure	chamber pressure	saturation pressure	chamber pressure	flow rate	Ts2500#1 SIL010 c11	Ts2500#2 SIL035 c19	PsDruck#1 0-20 h118	PoDruck#2 0-3b h119	PoDruck#3 0-3b h120	P MSL473_SH2	Tc SIL019 c12	Tc SIL057 c13	Tc SIL058 c14	Tc SIL020 c15	Tc SIL012 c17	Tx MSL473_SHX	Tx DUT473_RP2	DP MSL473_SH2	DP DUT473_RP2	FP MSL473_SH2	FP DUT473_RP2	Tm MSL473_SH2	Tm DUT473_RP2	RH DUT473_RP2	Th MSL473_SHX	Th DUT473_RP2	Tamb SIL039 c20
19	1207.8866124153137	2021-06-25 11:04:59	100.0	14.2269	14.71	22.5615	22.6278	0.42091	108.859	108.82	0.50805311	2.9155724	2.9281834	0	108.815	108.812	108.801	108.839	108.832	22.6081	22.6233	23.0202	22.3309	23.0216	22.331	23.0222	22.3315	98.2399	20.5939	22.5848	107.923
20	1274.570494890213	2021-06-25 11:06:06	100.0	14.2269	14.712	22.5619	22.6283	0.4258	108.859	108.821	0.50812672	2.9160599	2.9286127	0	108.816	108.811	108.802	108.839	108.832	22.6085	22.6238	23.0207	22.3324	23.0204	22.3324	23.0201	22.3324	98.2434	20.5941	22.5861	107.931
21	1341.2537326812744	2021-06-25 11:07:12	100.0	14.2269	14.714	22.5623	22.6287	0.43395	108.859	108.821	0.50805791	2.9156244	2.928174	0	108.817	108.812	108.803	108.84	108.831	22.6089	22.6238	23.021	22.3334	23.0257	22.3335	23.0229	22.3336	98.2494	20.5941	22.5874	107.934
22	1408.0250499248505	2021-06-25 11:08:19	100.0	14.2269	14.71	22.5625	22.6289	0.43232	108.857	108.821	0.50797149	2.91517	2.9277583	0	108.817	108.81	108.802	108.839	108.832	22.6092	22.6241	23.0198	22.3346	23.0205	22.3347	23.0207	22.3349	98.2549	20.5937	22.5883	107.937
23	1474.7569589614868	2021-06-25 11:09:26	100.0	14.2269	14.712	22.5623	22.6286	0.43721	108.859	108.823	0.50801796	2.9153436	2.9279004	0	108.815	108.811	108.801	108.841	108.834	22.6095	22.6246	23.0218	22.3358	23.0237	22.3357	23.0245	22.3359	98.2593	20.5938	22.5891	107.94
24	1541.537483215332	2021-06-25 11:10:33	100.0	14.2209	14.708	22.5625	22.6289	0.43721	108.858	108.822	0.50801344	2.9154939	2.9281137	0	108.816	108.811	108.801	108.841	108.834	22.6098	22.6248	23.0225	22.3365	23.0196	22.3367	23.0196	22.3369	98.2634	20.5938	22.5903	107.935
25	1608.3297171592712	2021-06-25 11:11:40	100.0	14.2269	14.71	22.5623	22.6287	0.44373	108.859	108.821	0.50802314	2.9155614	2.9280811	0	108.816	108.812	108.802	108.841	108.833	22.6103	22.6253	23.0193	22.3377	23.0196	22.3379	23.0197	22.3379	98.2684	20.5938	22.5911	107.929
26	1675.1004729270935	2021-06-25 11:12:46	100.0	14.2209	14.708	22.5622	22.6286	0.45188	108.857	108.821	0.50790367	2.9148291	2.927419	0	108.817	108.812	108.802	108.841	108.834	22.6101	22.6254	23.0213	22.3387	23.0208	22.3388	23.0203	22.3389	98.2729	20.5936	22.5922	107.93
27	1741.8718042373657	2021-06-25 11:13:53	100.0	14.2209	14.708	22.5624	22.6288	0.45514	108.859	108.822	0.50791403	2.914886	2.9274869	0	108.817	108.812	108.804	108.839	108.833	22.6104	22.6258	23.0188	22.34	23.0193	22.34	23.0197	22.3403	98.2787	20.5937	22.593	107.935
28	1808.6727957725525	2021-06-25 11:15:00	100.0	14.2269	14.708	22.5626	22.6289	0.46003	108.859	108.821	0.50796658	2.9149738	2.9275528	0	108.817	108.813	108.803	108.84	108.834	22.611	22.6259	23.021	22.3409	23.0211	22.341	23.0209	22.3411	98.2827	20.5938	22.5937	107.941
29	1875.4581019878387	2021-06-25 11:16:07	100.0	14.2209	14.71	22.5622	22.6286	0.46166	108.858	108.823	0.50795232	2.9152138	2.9278041	0	108.817	108.811	108.802	108.841	108.833	22.6111	22.6262	23.02	22.3419	23.0198	22.342	23.0186	22.3419	98.2877	20.5939	22.5948	107.941
30	1942.2356271743774	2021-06-25 11:17:13	100.0	14.2209	14.708	22.5624	22.6288	0.46818	108.858	108.822	0.5079492	2.9151596	2.9277291	0	108.817	108.811	108.802	108.841	108.833	22.6115	22.6261	23.0184	22.343	23.0199	22.3429	23.0207	22.343	98.2924	20.5937	22.5956	107.938
31	2008.9737572669983	2021-06-25 11:18:20	100.0	14.2209	14.708	22.5625	22.6289	0.47144	108.858	108.823	0.50798614	2.915263	2.927749	0	108.815	108.812	108.801	108.841	108.832	22.6115	22.6266	23.0207	22.3437	23.0206	22.344	23.0203	22.3439	98.2941	20.5937	22.5963	107.942
32	2075.764107942581	2021-06-25 11:19:27	100.0	14.2269	14.71	22.5626	22.629	0.47633	108.858	108.82	0.50790005	2.914923	2.9274771	0	108.816	108.812	108.803	108.839	108.835	22.6118	22.6269	23.0193	22.3448	23.0178	22.3445	23.0153	22.3446	98.2978	20.5936	22.5972	107.939
33	2142.502305984497	2021-06-25 11:20:34	100.0	14.2209	14.708	22.5725	22.6389	0.48122	108.857	108.823	0.50787609	2.914881	2.927492	0	108.818	108.81	108.803	108.843	108.834	22.6123	22.6271	23.0198	22.3454	23.0203	22.3453	23.02	22.3457	98.3026	20.5935	22.5981	107.941
